File               DER    JER    B3-Precision    B3-Recall    B3-F1    GKT(ref, sys)    GKT(sys, ref)    H(ref|sys)    H(sys|ref)    MI    NMI
S16_U04          87.99  88.37            0.17         0.58     0.26             0.08             0.03          3.00          1.26  0.17   0.08
S16_U05          81.17  81.35            0.21         0.48     0.29             0.12             0.08          2.85          1.56  0.33   0.13
S16_U06          85.70  85.26            0.20         0.53     0.29             0.10             0.07          2.86          1.49  0.32   0.13
S17_U01          80.27  81.63            0.16         0.42     0.23             0.11             0.05          3.22          1.70  0.27   0.10
S17_U02          81.09  82.59            0.16         0.42     0.23             0.11             0.05          3.22          1.72  0.27   0.10
S17_U03          78.72  80.84            0.16         0.41     0.23             0.12             0.06          3.20          1.71  0.29   0.11
S17_U04          80.56  82.03            0.16         0.40     0.23             0.11             0.05          3.20          1.75  0.28   0.11
S17_U05          82.63  83.69            0.15         0.41     0.22             0.09             0.04          3.26          1.77  0.23   0.09
S17_U06          82.51  83.60            0.16         0.39     0.22             0.10             0.05          3.23          1.98  0.26   0.09
S18_U01          84.01  86.20            0.16         0.39     0.22             0.05             0.03          3.14          1.70  0.14   0.06
S18_U02          88.54  89.74            0.15         0.44     0.22             0.03             0.02          3.19          1.68  0.09   0.04
S18_U03          82.59  85.39            0.16         0.38     0.22             0.06             0.03          3.13          1.74  0.14   0.06
S18_U04          83.90  86.74            0.16         0.35     0.22             0.06             0.03          3.11          1.97  0.16   0.06
S18_U05          83.78  86.42            0.15         0.38     0.22             0.05             0.02          3.14          1.75  0.14   0.05
S18_U06          86.65  87.88            0.15         0.38     0.21             0.04             0.02          3.16          1.90  0.12   0.05
S19_U01          82.99  87.93            0.17         0.55     0.26             0.14             0.03          3.01          1.11  0.19   0.09
S19_U02          87.33  89.15            0.17         0.53     0.26             0.11             0.04          2.99          1.31  0.20   0.09
S19_U03          83.33  88.09            0.17         0.52     0.26             0.13             0.03          3.01          1.22  0.19   0.09
S19_U04          83.43  87.85            0.17         0.56     0.26             0.15             0.03          3.00          1.09  0.20   0.10
S19_U05          81.89  87.52            0.17         0.53     0.26             0.14             0.04          3.00          1.18  0.19   0.09
S19_U06          81.90  86.24            0.18         0.47     0.26             0.13             0.04          2.97          1.41  0.22   0.10
S20_U01          89.33  90.20            0.12         0.52     0.19             0.06             0.02          3.48          1.36  0.11   0.05
S20_U02          87.07  87.87            0.12         0.48     0.19             0.07             0.02          3.45          1.49  0.15   0.06
S20_U03          83.91  86.49            0.12         0.49     0.20             0.10             0.03          3.42          1.35  0.18   0.08
S20_U04          87.79  89.00            0.13         0.46     0.20             0.10             0.03          3.38          1.59  0.21   0.08
S20_U05          86.31  87.87            0.12         0.44     0.19             0.09             0.03          3.41          1.59  0.18   0.07
S20_U06          86.13  88.68            0.12         0.51     0.19             0.09             0.02          3.45          1.25  0.14   0.06
S22_U01          90.23  91.40            0.11         0.62     0.19             0.05             0.01          3.53          1.06  0.09   0.04
S22_U02          91.67  92.67            0.11         0.65     0.19             0.04             0.01          3.55          1.00  0.07   0.03
S22_U04          91.51  92.70            0.11         0.63     0.19             0.05             0.01          3.54          1.01  0.08   0.04
S22_U05          91.49  91.76            0.11         0.64     0.19             0.04             0.01          3.53          1.11  0.08   0.04
S22_U06          89.20  89.71            0.11         0.55     0.19             0.05             0.01          3.51          1.34  0.10   0.04
S23_U01          74.30  79.41            0.20         0.48     0.28             0.22             0.08          2.94          1.52  0.41   0.16
S23_U02          77.50  81.65            0.18         0.51     0.27             0.19             0.06          3.01          1.37  0.33   0.14
S23_U03          78.09  81.26            0.18         0.48     0.26             0.18             0.06          3.01          1.45  0.34   0.14
S23_U04          76.76  80.71            0.19         0.48     0.27             0.19             0.07          2.96          1.52  0.38   0.15
S23_U05          79.14  82.66            0.17         0.49     0.26             0.15             0.05          3.05          1.44  0.29   0.12
S23_U06          73.14  78.39            0.20         0.48     0.28             0.22             0.08          2.95          1.47  0.40   0.16
S24_U01          82.84  84.80            0.22         0.54     0.31             0.15             0.06          2.77          1.23  0.26   0.12
S24_U02          80.51  83.16            0.22         0.53     0.31             0.16             0.07          2.75          1.25  0.28   0.13
S24_U03          81.80  83.65            0.22         0.52     0.31             0.14             0.06          2.78          1.34  0.26   0.12
S24_U04          81.48  83.92            0.22         0.52     0.31             0.15             0.07          2.76          1.28  0.28   0.13
S24_U05          80.07  83.50            0.23         0.54     0.32             0.17             0.07          2.74          1.23  0.29   0.14
S24_U06          80.92  83.60            0.23         0.52     0.31             0.16             0.07          2.74          1.27  0.29   0.14
*** OVERALL ***  83.99  85.50            0.18         0.49     0.27             0.49             0.18          3.03          1.46  6.94   0.76
